movieId,reviewCount,positiveReviewCount,negativeReviewCount,positiveReviewRatio,negativeReviewRatio,meanSentimentScore,medianSentimentScore,sentimentReliability,adjustedSentimentScore,sentimentStd,meanPositiveProb,meanNegativeProb,meanSentimentConfidence
260,9,8,1,0.8888888888888888,0.1111111111111111,0.6744578756215112,0.9993354022538893,0.6428571428571429,0.43358006289954293,0.6841985957407238,0.8372289276795561,0.1627710520580451,0.9421940713161597
261,4,4,0,1.0,0.0,0.8406236219727656,0.9973584111972507,0.4444444444444444,0.3736104986545625,0.31507024030386155,0.9203117947995119,0.0796881728267462,0.9203117947995119
266,1,1,0,1.0,0.0,0.9886585577487084,0.9886585577487084,0.16666666666666666,0.1647764262914514,0.0,0.9943292973054468,0.005670739556738524,0.9943292973054468
267,1,1,0,1.0,0.0,0.9997179570448834,0.9997179570448834,0.16666666666666666,0.16661965950748056,0.0,0.9998589492425686,0.0001409921976851254,0.9998589492425686
272,2,2,0,1.0,0.0,0.9976068943682969,0.9976068943682969,0.2857142857142857,0.2850305412480848,0.0027539947059950663,0.9988034344636477,0.0011965400953508484,0.9988034344636477
273,4,2,2,0.5,0.5,0.02285342761423259,0.03842294402158275,0.4444444444444444,0.010157078939658929,1.0794707520085454,0.5114266980698157,0.4885732704555831,0.9664653895533655
274,1,1,0,1.0,0.0,0.9959134963842539,0.9959134963842539,0.16666666666666666,0.16598558273070896,0.0,0.9979567568526309,0.002043260468377007,0.9979567568526309
276,2,1,1,0.5,0.5,0.0792115158286475,0.0792115158286475,0.2857142857142857,0.022631861665327855,1.2775932225873052,0.5396057541483281,0.4603942383196806,0.9516974118787332
277,1,1,0,1.0,0.0,0.9907984013431583,0.9907984013431583,0.16666666666666666,0.16513306689052637,0.0,0.9953991842409733,0.004600782897814977,0.9953991842409733
280,1,0,1,0.0,1.0,-0.36337966219000856,-0.36337966219000856,0.16666666666666666,-0.06056327703166809,0.0,0.3183101689049957,0.6816898310950043,0.6816898310950043
281,1,1,0,1.0,0.0,0.9894730226560073,0.9894730226560073,0.16666666666666666,0.16491217044266787,0.0,0.9947364807128907,0.005263458056883379,0.9947364807128907
288,3,3,0,1.0,0.0,0.9150122688485522,0.995622723741059,0.375,0.3431296008182071,0.14095326942301198,0.9575061380641529,0.04249386921560059,0.9575061380641529
289,3,2,1,0.6666666666666666,0.3333333333333333,0.4201125187495551,0.9995966698762363,0.375,0.15754219453108315,1.0038227131791955,0.7100562586016341,0.2899437398520791,0.9563902937740559
290,1,1,0,1.0,0.0,0.9942880031803697,0.9942880031803697,0.16666666666666666,0.16571466719672828,0.0,0.9971440166508386,0.0028560134704689,0.9971440166508386
292,2,2,0,1.0,0.0,0.9783788462583983,0.9783788462583983,0.2857142857142857,0.2795368132166852,0.022747620030448848,0.9891894361334794,0.010810589875081131,0.9891894361334794
293,2,1,1,0.5,0.5,-0.019374676149022274,-0.019374676149022274,0.2857142857142857,-0.005535621756863507,1.3806140103047149,0.4903126662236041,0.5096873423726264,0.9881207687419242
296,8,7,1,0.875,0.125,0.7518333958084251,0.9934725233301895,0.6153846153846154,0.462666705112877,0.6642575709475459,0.8759166942200914,0.12408329841166633,0.9873615574004109
299,3,3,0,1.0,0.0,0.9321982090378939,0.989126831617436,0.375,0.3495743283892102,0.10784909918362823,0.9660991254556044,0.0339009164177105,0.9660991254556044
302,1,1,0,1.0,0.0,0.9558414676693443,0.9558414676693443,0.16666666666666666,0.15930691127822405,0.0,0.9779207134473352,0.022079245777990926,0.9779207134473352
303,4,2,2,0.5,0.5,0.006546854053604667,0.006839796459468195,0.4444444444444444,0.002909712912713185,1.1147613161728918,0.5032734462650995,0.49672659221149484,0.9825539444528767
305,1,1,0,1.0,0.0,0.9966085400692253,0.9966085400692253,0.16666666666666666,0.16610142334487088,0.0,0.9983042162518169,0.001695676182591638,0.9983042162518169
306,2,2,0,1.0,0.0,0.6446683033523355,0.6446683033523355,0.2857142857142857,0.184190943814953,0.5015863488034457,0.8223341766899155,0.17766587333757997,0.8223341766899155
307,2,2,0,1.0,0.0,0.8524342158146816,0.8524342158146816,0.2857142857142857,0.24355263308990902,0.20184330188340266,0.9262171289374986,0.07378291312281712,0.9262171289374986
308,2,2,0,1.0,0.0,0.9957965540597751,0.9957965540597751,0.2857142857142857,0.2845133011599357,0.0029791752577220075,0.9978982754320178,0.0021017213722427453,0.9978982754320178
315,3,2,1,0.6666666666666666,0.3333333333333333,0.014198443988330256,0.09181270599365232,0.375,0.005324416495623846,0.9770181009824981,0.5070992330439735,0.49290078905564316,0.8402032058651437
316,4,4,0,1.0,0.0,0.7502548896184149,0.7966756310611673,0.4444444444444444,0.3334466176081844,0.26098723058646656,0.8751274363166376,0.12487254669822262,0.8751274363166376
317,1,1,0,1.0,0.0,0.999632626488481,0.999632626488481,0.16666666666666666,0.16660543774808015,0.0,0.9998163416765738,0.00018371518809294355,0.9998163416765738
318,21,19,2,0.9047619047619048,0.09523809523809523,0.8087318923626482,0.9996107153904935,0.8076923076923077,0.6532065284467543,0.5981440589801644,0.9043659431948221,0.0956340508321739,0.998690504056572
319,2,1,1,0.5,0.5,-0.2227777012284343,-0.2227777012284343,0.2857142857142857,-0.06365077177955265,0.5072330672564532,0.3886111607729389,0.6113888620013731,0.679333982136701
327,1,0,1,0.0,1.0,-0.9986122072433794,-0.9986122072433794,0.16666666666666666,-0.16643536787389657,0.0,0.0006938715348180556,0.9993060787781974,0.9993060787781974
328,1,1,0,1.0,0.0,0.7748259601977048,0.7748259601977048,0.16666666666666666,0.1291376600329508,0.0,0.8874129736983536,0.11258701350064886,0.8874129736983536
329,4,2,2,0.5,0.5,-0.24939709003885602,-0.467935670678323,0.4444444444444444,-0.11084315112838045,0.9340868884586111,0.37530146206257364,0.6246985521014297,0.8736572055331363
332,1,1,0,1.0,0.0,0.9992049707501541,0.9992049707501541,0.16666666666666666,0.16653416179169234,0.0,0.999602523504519,0.00039755275436476165,0.999602523504519
337,4,4,0,1.0,0.0,0.9263970083471544,0.9848339064073705,0.4444444444444444,0.4117320037098464,0.1260557285851151,0.9631985032095131,0.036801494862358564,0.9631985032095131
338,2,1,1,0.5,0.5,-0.0004322408322619542,-0.0004322408322619542,0.2857142857142857,-0.0001234973806462726,1.4112805353955655,0.49978385970731404,0.500216100539576,0.9989629984908379
339,5,5,0,1.0,0.0,0.9974552807666667,0.9981507815065839,0.5,0.49872764038333334,0.002223024703085522,0.9987276325664552,0.0012723517997885248,0.9987276325664552
344,2,2,0,1.0,0.0,0.9730993002429673,0.9730993002429673,0.2857142857142857,0.27802837149799065,0.03765466536572071,0.9865496464264698,0.013450346183502576,0.9865496464264698
345,2,1,1,0.5,0.5,0.07270203060094771,0.07270203060094771,0.2857142857142857,0.020772008743127915,1.3017390102776396,0.5363510132628612,0.4636489826619135,0.9602342387135793
